Id	Label	timeset	indegree	outdegree	Degree	weighted indegree	weighted outdegree	Weighted Degree	Eccentricity	closnesscentrality	harmonicclosnesscentrality	betweenesscentrality	Cluster	clustering	eigencentrality	modularity_class	Authority	Hub
Barras, R.	Barras, R.		0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Beltramini, R. F.	Beltramini, R. F.		0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0
Bowen, D.	Bowen, D.		2	2	4	2	2	4	1	1	1	0	0	1	1	2	0,408248	0,408248
George, W. R.	George, W. R.		2	2	4	2	2	4	1	1	1	0	0	1	1	2	0,408248	0,408248
Kingmanbrundage, J	Kingmanbrundage, J		2	2	4	2	2	4	1	1	1	0	0	1	1	2	0,408248	0,408248
Buzzacchi, L.	Buzzacchi, L.		2	2	4	2	2	4	1	1	1	0	1	1	1	3	0,408248	0,408248
Colombo, M. G.	Colombo, M. G.		2	2	4	2	2	4	1	1	1	0	1	1	1	3	0,408248	0,408248
Mariotti, S.	Mariotti, S.		2	2	4	2	2	4	1	1	1	0	1	1	1	3	0,408248	0,408248
Evangelista, R.	Evangelista, R.		1	1	2	1	1	2	1	1	1	0	2	0	0,056348	4	0	0
Sirilli, G.	Sirilli, G.		1	1	2	1	1	2	1	1	1	0	2	0	0,056348	4	0	0
Kerkhof, Marco	Kerkhof, Marco		0	0	0	0	0	0	0	0	0	0	7	0	0	5	0	0
Khan, A. M.	Khan, A. M.		1	1	2	1	1	2	1	1	1	0	3	0	0,056348	6	0	0
Manopichetwattana, V.	Manopichetwattana, V.		1	1	2	1	1	2	1	1	1	0	3	0	0,056348	6	0	0
Latour, M. S.	Latour, M. S.		1	1	2	1	1	2	1	1	1	0	4	0	0,056348	7	0	0
Roberts, S. D.	Roberts, S. D.		1	1	2	1	1	2	1	1	1	0	4	0	0,056348	7	0	0
Metcalfe, J. S.	Metcalfe, J. S.		0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0
Miles, Ian	Miles, Ian		0	0	0	0	0	0	0	0	0	0	9	0	0	9	0	0
Smith, D. J.	Smith, D. J.		0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0
